0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21246,25605,25606,25608,25610,25612,25619,25622,25623,25629,25632,25638,25641,25600,25646,25658,25659,25663,25667,25670,25671,25673,25675,25688,25691,25699,25702,25656,25597,25596,25595,25514,25516,25517,25521,25527,25529,25533,25537,25539,25543,25544,25553,25555,25557,25559,25560,25561,25563,25567
9153,40882,22359,40230,16593,39500,6772,11809,18148,39931,15148,29238,15394,12204,28759,26943,27105,12889,1425,14756,37913,35607,16345,38630,5071,22956,38635,38636,6824,14950,30393,27255,6019,24560,36845,37482,21122,33665,10692,39165,17005,34681,11503,20374,32426,23285,10249,21079,16970,6691
13956,36553,11280,36402,36295,36220,2918,19673,19305,2946,11121,36001,3125,10910,20323,3264,3270,36177,35456,2769,36728,37324,18583,18648,11633,37110,18796,18855,11368,37024,19044,19056,19061,19101,36753,2711,36732,36973,3307,10822,3327,34545,34517,3822,34365,34331,34246,34243,3738,3883
27928,14252,18894,9616,38392,14882,35106,28072,20872,41313,4890,22606,3635,40178,3351,14468,37606,5660,6753,35130,9561,13157,26212,646,16710,23916,5424,2170,21744,27372,33006,14858,26621,14137,24246,21539,34479,37317,13527,23595,23948,19911,1383,327,8783,4591,3751,27650,34524,25633
41999,18596,18624,18672,18684,18693,18754,18789,18817,18823,18841,18958,19040,19078,19106,19132,19152,19153,19163,19173,19297,19308,18586,18553,18538,18530,17942,18024,18104,18153,18160,18208,18215,18240,18262,18270,19313,18273,2269,18284,18325,2261,18402,18431,18435,18461,18501,18507,18274,17938
9343,9088,40513,19471,11546,1127,994,30973,7826,36887,2033,24107,33785,3542,1303,21440,4806,38039,5518,34558,4532,7452,6710,6188,2157,1153,2004,13945,1143,19979,11268,19768,24133,24192,19721,24280,6451,1381,36126,19763,24283,28666,14578,9144,14629,6740,10849,32465,16408,6696
7878,34823,11939,21936,16540,19087,7096,13110,36200,27363,39538,16936,2804,1132,29063,7684,14369,1929,23942,39300,4994,21677,3547,18179,19473,12288,31295,23057,10679,34129,6901,37833,8735,41772,3537,7497,1223,2146,16021,33560,15758,9573,24868,6636,611,26376,39280,3672,20301,41879
0,22511,22502,22500,22499,22498,22496,22493,22482,22515,22476,22471,22469,22467,22464,22461,22455,22453,22451,22473,22517,22518,22519,22575,22574,22571,22570,22569,22563,22556,22552,22551,22548,22547,22544,22543,22542,22539,22537,22533,22526,22524,22449,22448,22444,22442,22375,22373,22363,22362
4790,26229,31804,31798,31793,3090,3085,3083,31770,21223,7405,7362,37867,7413,21180,3012,21162,11312,37923,21138,31685,26312,26323,37880,37957,14950,3118,26072,26073,7254,26084,14851,37651,37661,37670,37679,3199,26218,31918,26112,21319,7311,3164,37730,26159,14907,21291,14915,37765,3192
21732,21636,34380,19368,31603,19018,14160,41558,26644,27470,1495,25842,1039,21054,28679,14217,10483,26474,14232,10480,23070,5261,36429,14248,31624,2624,26606,6646,34326,21060,24886,13968,13979,31770,7933,19345,10704,5586,37979,40956,5550,23467,20576,14078,26633,38059,40946,14109,23581,31518
32769,2253,22804,34845,22795,38728,8435,12720,38699,12728,8430,22726,34827,38774,38786,22713,12773,2226,29153,29037,8470,12537,22957,22956,38630,38635,22945,12575,22840,38636,8483,29030,12616,34873,12639,22899,8474,22942,29013,12792,22631,4770,22330,4772,8324,8323,38963,2099,22369,22271
21240,31633,31634,14491,14490,14488,31639,31646,31647,31654,31656,14468,14466,14457,14452,14506,31669,14437,31674,31676,14432,14428,31682,14416,14414,14402,14401,14398,14397,31702,14389,14444,14385,14508,14511,31524,14598,14591,31542,31546,31557,14577,31562,31571,14564,14561,14556,14554,14550,31627
39883,27828,31674,27881,12366,19624,14051,1063,34241,1183,8335,26769,26736,34473,34565,16168,16334,16366,26309,34750,7723,7667,16648,16661,26047,26041,7561,34937,942,16259,34203,8470,15690,27646,33401,2620,15036,9174,9155,15149,1355,27485,33533,15254,33562,39553,27308,33665,2702,8712
40505,18636,35456,25861,17298,37944,21704,9594,22956,7897,25184,7647,2177,20397,9580,14756,34517,32634,12278,20722,27376,9569,3000,10483,30506,3083,33263,32308,16738,37979,27442,32315,12335,16087,8851,13576,17975,40023,6917,8422,26081,15850,31842,28727,37513,11518,32631,17635,30380,39407
21240,21540,21544,21548,21549,21550,21552,21554,21534,21578,21605,21613,21625,21626,21631,21633,21637,21600,21524,21521,21520,21401,21406,21418,21427,21430,21433,21440,21443,21446,21450,21452,21453,21460,21474,21475,21481,21491,21642,21397,21658,21667,21802,21818,21830,21832,21836,21845,21847,21799
2,26810,26811,26814,26816,26818,26819,26824,26827,26833,26834,26838,26841,26843,26848,26809,26849,26851,26852,26859,26862,26864,26865,26866,26868,26870,26871,26873,26874,26878,26882,26850,26808,26807,26805,26736,26737,26741,26742,26743,26745,26748,26753,26755,26759,26762,26765,26767,26768,26769
21240,32924,5660,33056,33063,33099,14217,33132,5620,33171,33188,14232,5578,33238,19061,33246,5550,19059,5534,19056,33310,14278,33357,33367,33375,33381,14169,5731,14160,5769,14078,14079,32481,32520,14081,19287,32586,5898,5894,5890,14109,32634,19018,5868,32681,32683,5837,19215,32691,14138
31147,28188,34088,21858,31550,13096,21862,6465,13102,31546,18525,13107,13113,36842,13122,39542,39543,24501,21898,9918,21905,3095,36812,9917,3090,36807,3085,24503,31513,6450,21853,10007,6383,28143,28149,34034,31647,3236,13001,21822,18489,34055,9978,13070,3220,39450,39451,31624,20287,3202
41998,17896,36319,36311,36309,17908,17912,17885,17915,17929,17944,17947,17955,17956,36295,36307,17963,17883,17878,17809,17817,17823,17832,36330,17840,17879,17849,17854,17859,17863,17864,17867,17877,36324,17964,36293,17981,36265,18072,36264,36263,18081,18084,18061,18085,36258,18106,18109,18111,18112
